登場人物,セリフ,備考,番号
男性C,ワイ古文の授業で寝てたから恋愛しか知らん,スレ①,18
女性D大,"恋愛も想像よりだいぶ手間やで。
貴族層では男性が女性側に通う形が見られるし、
和歌のやり取りも社交や恋愛で重要だった。
全員がそうとは言えんけど、
文章センスで空気が変わる社会は普通にしんどい。",スレ①,19
男性E,LINEの既読無視よりつらそう,スレ①,20
男性A下,返歌ミスったら終わりそう,スレ①,21>>20
女性B下,"即アウトではないやろ、
でも気まずさはすごそう",スレ①,22>>21
男性C大,"返事が遅い、
言葉選びが微妙、
噂になる、
みたいな社会的ダメージはありそう。
手紙ひとつでも相手の家や女房まで絡むなら、
恋愛というより交渉ごとに近い。",スレ①,23
女性D,和歌バトル社会,スレ①,24
男性E下,バトルではない,スレ①,25>>24
男性A下,"香りとか衣装とか筆跡まで見られるんやろ、
情報量が多すぎる",スレ①,26>>24
女性B下,でも教養マウントはありそう,スレ①,27>>26
解説者,"通い婚とは、
平安時代の貴族層の婚姻で見られた、
男性が女性のもとへ通う形の婚姻である。",解説：通い婚,1
解説者,"夫婦が最初から同じ家に住む形とは異なり、
男性が女性側の邸宅を訪れることで関係が続いていくのが特徴だった。",解説：通い婚,2
解説者,"また、
恋愛や社交では和歌のやり取りも重要な役割を持っており、
教養や言葉選びが人間関係に影響した。",解説：通い婚,3
解説者,"そのため、
平安貴族の恋愛は優雅である一方、
現代人から見るとかなり手間のかかる文化でもあった。",解説：通い婚,4
男性C,"貴族でも面倒、
庶民はそもそも別世界って感じか",スレ①,28
女性D大,"そこ分けないと変になる。
宮廷文化として見える平安と、
町や村で暮らす人の平安はかなり違うはず。
貴族の話をして「平安人は全員優雅」も違うし、
逆に庶民だけ見て「全部きつい」も雑。",スレ①,29
男性E,急にまともなこと言うやん,スレ①,30
男性A,じゃあワイは貴族でええわ,スレ①,31
女性B下,後ろ盾ない貴族とか普通にきつそう,スレ①,32>>31
男性C,藤原氏ゲーか？,スレ①,33
女性D大,"藤原道長みたいな勝ち組だけ見てると平安貴族は楽しそうに見えるけど、
家柄、
官職、
親族関係、
婚姻のつながりで立場が変わる世界やろ。
優雅というより常に空気読みしてる社会に見える。",スレ①,34
男性E,盛りすぎて引くわ,スレ①,35
男性A下,推し補正入っとるやろ,スレ①,36>>35
解説者,"ここまでは、
平安時代の貴族文化や暮らし、
恋愛の面倒さについてのさまざまな議論を見てきたが、",前置き,1
解説者,"「でも実際の平安京は普通に暮らしやすかったの？
」「夜の都や病気はどうしていたの？
」と、
当時の暮らしに疑問を持つ者も現れた。",前置き,2
解説者,"たしかに、
華やかな文化の一方で、
人々の生活にはどのような不安があったのだろうか。
引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,3
男性A,ところで夜の平安京って安全なんか,スレ②,1
女性B,"貴族の上澄みだけで「全部優雅」は、
戦国を信長の宴会だけで語るくらい偏ってそう",スレ②,2
男性C大,"そこから雰囲気変わる。
京には検非違使みたいに警備や取り締まりに関わる役職はあったけど、
今の警察そのままではない。
夜の都や端の方まで安心安全だったと考えるのはたぶん無理がある。",スレ②,3
女性D,検非違使って名前がもう強い,スレ②,4
男性E下,字面だけならラスボス側,スレ②,5>>4
男性A大,"名前は強いけど万能カードではないんよな。
取り締まりや裁判に関わる役職として見るのが近くて、
現代の交番みたいな安心装置を想像するとズレる。
むしろ役職名が強すぎて期待値だけ上がる。",スレ②,6
女性B,現代警察ではないんやな,スレ②,7
男性C,右京って荒れてたんやっけ,スレ②,8
女性D大,"荒れてたを盛りすぎると危ない。
右京は低湿地っぽい条件もあって開発が伸びにくく、
だんだん左京側に重心が寄ったくらいで見た方が安全やと思う。
最初から全部ダメみたいな話ではない。",スレ②,9
男性E,右京側の人からしたら左京マウント普通に腹立ちそう,スレ②,10
男性A下,右と左でそんな差あるの草,スレ②,11>>10
女性B,都市計画ってロマンあるけど住む側は運ゲーやな,スレ②,12
男性C下,はい解散,スレ②,13>>12
女性D,てか病気になったらどうしてたん,スレ②,14
男性E大,"病の原因を今ほど細かく切り分けられないから、
体の不調がそのまま不吉さや祟りへの不安に繋がりやすい。
薬や医療的な対応があっても、
それだけで気持ちが片付かない場面は多かったはず。",スレ②,15
男性A,祈る,スレ②,16
女性B下,雑すぎ,スレ②,17>>16
男性C大,"医療ゼロ扱いは違う。
薬や医療的な対応もあるけど、
現代みたいな感覚ではないから、
祈祷や宗教的な対応も普通に選択肢に入る。
体の不調と目に見えない不安が近かった時代やろな。",スレ②,18
女性D,その言い方が一番こわい,スレ②,19
男性E下,"病院行って薬もらって終わり、
ではないんやな",スレ②,20>>18
男性A,体調悪いときに方角とか日取りまで気にするのメンタル削れそう,スレ②,21
女性B下,"知らんけど暦の吉凶で予定がずれるの、
現代の会議調整よりしんどい気がする",スレ②,22>>21
男性C下,でも現代人も占い見るやろ,スレ②,23>>22
女性D下,痛いところ突くな,スレ②,24>>23
男性E下,ワイの職場にも物忌み導入しろ,スレ②,25>>21
男性A,怨霊とか物の怪ってどこまで本気やったんや,スレ②,26
女性B大,"災害や疫病みたいな説明しにくい出来事を、
怨霊や物の怪と結びつけて考えることはあった。
もちろん何でも怨霊で片付けたわけではないけど、
政治や儀礼と不安が絡む社会だと、
そういう解釈が力を持つ場面はある。",スレ②,27
男性C,"全員が怪談脳というより、
不安を説明する言葉として霊や物の怪が強かった感じか",スレ②,28
女性D下,怨霊に政治力あるの平安すぎる,スレ②,29>>28
男性E下,菅原道真の圧がすごい,スレ②,30>>29
男性A下,こんなん絶対菅原ですやん,スレ②,31>>30
女性B下,その雑さがもう当時の人に怒られそう,スレ②,32>>31
男性C下,"盛りすぎて引くわ、
道真カードを万能にするな",スレ②,33>>31
女性D大,"御霊信仰は、
災いや疫病を無念を残した人の霊と結びつけて、
それを鎮めようとする流れと関係する。
ただし有名人の名前だけで全部説明するのは短絡的。
時代差や地域差もある話。",スレ②,34
男性E,急に諸説ガード入った,スレ②,35
男性A下,ガードないと話が怪談方向に飛びすぎるからな,スレ②,36>>35
女性B,ここで陰陽師出てくるんか,スレ②,37
男性C大,"陰陽師も創作みたいな式神バトル職で見るとズレる。
陰陽寮や陰陽師は、
暦、
天文、
時刻、
占い、
方角の吉凶みたいなところに関わる官人として見る方が近い。
怪異を殴る人というより、
不安を制度の中で処理する側。",スレ②,38
女性D大,"儀礼と実務のあいだにいる感じやな。
暦がズレると行事も政務も困るし、
吉凶判断が軽く見られない社会なら、
陰陽師はオカルト係というより日常の運用係に近い。",スレ②,39
解説者,"陰陽道とは、
中国由来の陰陽五行説などを背景に、
日本で独自に発展した思想や技術の体系である。",解説：陰陽道,1
解説者,"平安時代には、
暦や天文、
時刻、
方角の吉凶判断などと結びつき、
朝廷の儀礼や日常判断にも関わっていた。",解説：陰陽道,2
解説者,"その担い手の一つが陰陽寮に属する陰陽師であり、
安倍晴明もそうした流れの中で語られる人物である。",解説：陰陽道,3
解説者,"後世の物語では怪異と戦う存在として描かれるが、
本来は暦や占い、
儀礼に関わる官人としての側面が大きかった。",解説：陰陽道,4
男性E,安倍晴明もバトル漫画の人ではないんやな,スレ②,40
男性A下,でもロマンはある,スレ②,41>>40
女性B下,ロマンはあるけど仕事はめちゃ事務っぽい説,スレ②,42>>41
男性C下,暦作って方角見て儀礼も絡むなら普通に忙しそう,スレ②,43>>41
女性D,ワイなら通い婚の時点で離脱してる,スレ②,44
男性E下,そこに戻るんかい,スレ②,45>>44
男性A大,"恋愛、
寒さ、
治安、
祈祷、
怨霊、
全部ちょっとずつ面倒なのが平安",スレ②,46
女性B,雅っていうより気を遣う社会なんやな,スレ②,47
男性C,"平安の夜、
普通に暗そう",スレ②,48
女性D下,それは平安に限らんやろ,スレ②,49>>48
男性E下,でも月明かりだけで恋文届けるのはちょっと絵になる,スレ②,50>>48
男性A下,そこで急に雅を回収するな,スレ②,51>>50
女性B下,面白いけど住みたくはない,スレ②,52>>50
男性C,近所の神社の方角とか急に気になってきた,スレ②,53
女性D,"物忌みで予定飛ぶ社会、
当事者は困るけど話としては強い",スレ②,54
男性E下,方角で出勤止めたい,スレ②,55>>53
男性A,陰陽寮の求人票見てみたい,スレ②,56
女性B下,福利厚生も吉凶次第なんか,スレ②,57>>56
解説者,本日はここまで。,締め,1
解説者,"今回は、
平安時代の雑学についてのさまざまな議論を見てきたが、
いかがだっただろうか？",締め,2
解説者,2ちゃんねるの歴史オタクたちの議論を見ていると、,締め,3
解説者,"平安時代は単に雅で優雅な時代だったのではなく、
恋愛、
暮らし、
治安、
信仰などが絡み合うかなり奥深い時代だったように思えた。",締め,4
解説者,今回の動画について他の意見や感想があったらぜひコメントで教えてね！,締め,5
解説者,"他にも歴史にまつわる情報をまとめた動画が満載なので、
ぜひ見てみてくださいね。
ご視聴ありがとうございました！",締め,6
